time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2019-01-01T00:00:00Z,-16.73,-43.87,820.0
2019-02-01T00:00:00Z,-16.73,-43.87,810.0
2019-03-01T00:00:00Z,-16.73,-43.87,950.0
2019-04-01T00:00:00Z,-16.73,-43.87,715.0
2019-05-01T00:00:00Z,-16.73,-43.87,539.0
2019-06-01T00:00:00Z,-16.73,-43.87,436.0
2019-07-01T00:00:00Z,-16.73,-43.87,367.0
2019-08-01T00:00:00Z,-16.73,-43.87,318.0
2019-09-01T00:00:00Z,-16.73,-43.87,280.0
2019-10-01T00:00:00Z,-16.73,-43.87,251.0
2019-11-01T00:00:00Z,-16.73,-43.87,227.0
2019-12-01T00:00:00Z,-16.73,-43.87,245.0
