time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2024-01-01T00:00:00Z,-16.73,-43.87,2452.0
2024-02-01T00:00:00Z,-16.73,-43.87,2504.0
2024-03-01T00:00:00Z,-16.73,-43.87,977.0
2024-04-01T00:00:00Z,-16.73,-43.87,549.0
2024-05-01T00:00:00Z,-16.73,-43.87,13.0
2024-06-01T00:00:00Z,-16.73,-43.87,4.0
2024-07-01T00:00:00Z,-16.73,-43.87,0.0
2024-08-01T00:00:00Z,-16.73,-43.87,15.0
2024-09-01T00:00:00Z,-16.73,-43.87,8.0
2024-10-01T00:00:00Z,-16.73,-43.87,1235.0
2024-11-01T00:00:00Z,-16.73,-43.87,2570.0
2024-12-01T00:00:00Z,-16.73,-43.87,1384.0
